Address,Unit,MAR,Date,Bedrooms
2400 BEVERLEY AVE,1,4950,2/1/2024,3
2400 BEVERLEY AVE,10,5138,9/1/2021,3
2400 BEVERLEY AVE,11,2722,9/1/2010,3
2400 BEVERLEY AVE,12,2269,4/1/2011,2
2400 BEVERLEY AVE,14,1316,,2
2400 BEVERLEY AVE,15,3129,8/15/2019,2
2400 BEVERLEY AVE,16,3238,9/20/2016,2
2400 BEVERLEY AVE,17,1149,,2
2400 BEVERLEY AVE,18,2674,10/1/2009,3
2400 BEVERLEY AVE,19,1824,,3
2400 BEVERLEY AVE,2,1227,,3
2400 BEVERLEY AVE,3,2237,10/1/2011,2
2400 BEVERLEY AVE,4,1149,,2
2400 BEVERLEY AVE,5,4300,10/15/2023,2
2400 BEVERLEY AVE,6,2188,5/9/2005,2
2400 BEVERLEY AVE,7,2194,1/8/2009,2
2400 BEVERLEY AVE,8,1227,,3
2400 BEVERLEY AVE,9,1350,,3
2401 BEVERLEY AVE,,1583,,4
2414 BEVERLEY AVE,,0,,0
2416 BEVERLEY AVE,,0,,0
2419 BEVERLEY AVE,1,1845,,3
2419 BEVERLEY AVE,2,1987,11/1/2004,1
2419 BEVERLEY AVE,3,827,,1
2419 BEVERLEY AVE,4,868,,1
2419 BEVERLEY AVE,5,1022,,1
2419 BEVERLEY AVE,6,2684,9/27/2004,2
2419 BEVERLEY AVE,7,854,,1
2419 BEVERLEY AVE,8,1102,,2
2419 BEVERLEY AVE,9,2260,12/18/2004,1
2428 BEVERLEY AVE,A,5360,10/21/2013,2
2428 BEVERLEY AVE,B,4584,6/20/2019,2
2428 BEVERLEY AVE,C,6500,1/13/2024,2
2428 BEVERLEY AVE,D,7576,1/1/2023,2
2437 BEVERLEY AVE,A,2583,1/1/2019,1
2437 BEVERLEY AVE,B,1830,10/1/2010,1
2437 BEVERLEY AVE,C,3076,6/1/2023,1
2437 BEVERLEY AVE,D,3943,8/23/2022,0
2437 BEVERLEY AVE,E,3576,3/1/2023,1
2437 BEVERLEY AVE,F,3900,10/16/2024,1
2441 BEVERLEY AVE,1,3163,5/1/2021,2
2441 BEVERLEY AVE,10,2846,11/22/2004,2
2441 BEVERLEY AVE,11,3160,12/15/2013,2
2441 BEVERLEY AVE,12,2837,5/1/2009,2
2441 BEVERLEY AVE,13,3303,7/10/2015,2
2441 BEVERLEY AVE,14,2949,10/10/2011,2
2441 BEVERLEY AVE,15,2000,,2
2441 BEVERLEY AVE,16,2056,,2
2441 BEVERLEY AVE,17,1914,,2
2441 BEVERLEY AVE,18,3191,9/5/2002,2
2441 BEVERLEY AVE,19,1659,,2
2441 BEVERLEY AVE,2,2050,,3
2441 BEVERLEY AVE,3,1659,,2
2441 BEVERLEY AVE,4,1886,,3
2441 BEVERLEY AVE,5,3052,5/1/2009,2
2441 BEVERLEY AVE,6,2309,,2
2441 BEVERLEY AVE,7,2975,12/18/2010,2
2441 BEVERLEY AVE,8,3960,5/1/2014,2
